reservation_id,tenant_id,customer_id,reservation_date,time_slot,status,created_at
814fdb07-dd5d-411d-a4ed-fef3638ea568,3483fce0-915d-4894-a0e2-4ba706fbcf9a,e617161f-b96b-47d7-9f4b-59d8ed18e46f,2024-11-12,09:00,completed,2024-11-12T19:04:00
a761665a-31ca-416f-9fff-26bef5b4d12f,23aa4bfb-faa3-4dec-950e-0dedf62b0788,e399ab45-1e08-48b8-9c7f-939b8c46c91d,2024-12-05,10:30,completed,2024-12-05T14:54:00
19dbb526-4451-4ad5-87c7-e83853afe399,6be25e64-c34e-4cd9-b91a-42715b89b119,a7aac069-2ed1-47f8-a521-47a7667b7ab9,2024-06-30,09:30,completed,2024-06-30T14:08:00
e8f7492a-ca13-434e-a7b4-807f79f41856,3483fce0-915d-4894-a0e2-4ba706fbcf9a,5edfa3d7-13d7-4160-94c8-d5e228819858,2024-10-18,15:00,confirmed,2024-10-18T09:20:00
1afbc5a8-b2f9-4c50-b6d5-cc6b20c6528a,23aa4bfb-faa3-4dec-950e-0dedf62b0788,20e0b57a-5dc9-453f-a777-04eb0c244e40,2024-10-07,08:30,confirmed,2024-10-07T10:42:00
b9607c9e-e16b-4cce-934e-4917336536ca,3483fce0-915d-4894-a0e2-4ba706fbcf9a,4b5aeee2-b6d9-4097-b00c-38dd15683b89,2024-12-21,15:00,confirmed,2024-12-21T11:15:00
0e53f0b2-11a0-4094-9e31-183396d8bf5a,3083fa7f-9968-479f-960f-6cef2a12cd2c,fd66c282-7ac9-463c-b394-7185a010f68e,2024-01-07,21:30,arrived,2024-01-07T12:15:00
d0ffc72a-beee-41a5-a9ea-1816613c378f,93327782-e082-4124-826e-9cef7e076d22,e7b18d68-c524-4d95-8f29-0dff1fa19521,2024-07-31,11:30,confirmed,2024-07-31T16:35:00
d8c8fd3c-2705-4e05-a6d4-07dad4d27401,93327782-e082-4124-826e-9cef7e076d22,1be4ea24-f4bf-4148-ae76-7bca9785ffaf,2024-09-22,14:30,cancelled,2024-09-22T17:25:00
94c5307c-6fdc-4ecc-b699-d29ec99bcdb6,23aa4bfb-faa3-4dec-950e-0dedf62b0788,119c28c4-70fe-49f3-be88-f1848c9f69c6,2024-05-14,11:30,completed,2024-05-14T14:23:00
59d44a95-1ca8-4d23-9f0b-644d3bf48ca7,3483fce0-915d-4894-a0e2-4ba706fbcf9a,bee0fb15-c610-47d3-8b0e-273332c67f2f,2024-07-01,13:00,completed,2024-07-01T09:44:00
fc930ac5-5a85-474f-b8d0-b901f0d76fe4,93327782-e082-4124-826e-9cef7e076d22,771b96af-a3d6-4a90-8755-d773ddce729e,2024-10-23,19:30,completed,2024-10-23T10:06:00
96e5b09d-38d6-4f1e-8775-e2616b933b15,93327782-e082-4124-826e-9cef7e076d22,60aa1846-ee0b-469f-9d55-42c8c292de1c,2024-06-09,11:30,completed,2024-06-09T09:51:00
abe49212-4a41-48f0-92e8-1634cab87c79,93327782-e082-4124-826e-9cef7e076d22,a12465fd-5e5f-4f9c-a02f-50a852fcce64,2024-04-24,21:00,arrived,2024-04-24T15:17:00
65e57b31-c1f4-4c9f-a1cd-c931a9a1d6ba,93327782-e082-4124-826e-9cef7e076d22,991d3297-101a-48ee-9b3c-91485df3a322,2024-11-12,14:00,confirmed,2024-11-12T15:31:00
40d0903a-86ab-4636-8716-3c5bd23ae7ca,93327782-e082-4124-826e-9cef7e076d22,dba8a142-4d80-462d-82ac-6b88ba5127e9,2024-01-12,18:00,cancelled,2024-01-12T16:28:00
a2dfd259-942a-4583-bf0b-383e02c2a208,3483fce0-915d-4894-a0e2-4ba706fbcf9a,66573437-2b77-4fe6-a251-ef61ed63d3f8,2024-09-01,09:30,pending,2024-09-01T21:45:00
9d991d8b-88ad-4009-a939-1fabb0541314,3083fa7f-9968-479f-960f-6cef2a12cd2c,70e7c921-4a5c-4128-a3f4-7d0e1a4ae148,2024-05-21,19:30,arrived,2024-05-21T17:16:00
b4d8b4ee-3b25-41a2-b13b-6008d6bd747c,6be25e64-c34e-4cd9-b91a-42715b89b119,93856b86-0a58-4593-8a41-7c511257f04d,2024-12-26,11:30,cancelled,2024-12-26T20:08:00
9a4ee482-dc7f-4d6b-b41d-f592f6a7674b,23aa4bfb-faa3-4dec-950e-0dedf62b0788,b09817e2-2b99-4106-a2ae-32d2ab79e9b9,2024-10-02,13:00,completed,2024-10-02T19:43:00
3e6aae0b-44ff-4ec6-9dad-b95f4fd8eb57,93327782-e082-4124-826e-9cef7e076d22,7fbabd50-7844-456e-96da-78077a8f2140,2024-09-17,18:30,pending,2024-09-17T14:09:00
